shrid2,connected_villages,num_connected_villages,connected_populations,Town-Connected
11-24-472-03764-510289,['11-24-472-03765-510321'],1,,
11-24-472-03764-510290,"['11-24-472-03764-510286', '11-24-472-03764-510222', '11-24-472-03765-510322', '11-24-472-03764-510259', '11-24-472-03764-510285', '11-24-472-03764-510307', '11-24-472-03764-510252', '11-24-472-03764-510260', '11-24-472-03764-510253']",9,,
11-24-472-03764-510307,"['11-24-472-03764-510286', '11-24-472-03765-510322', '11-24-472-03764-510259', '11-24-472-03764-510285', '11-24-472-03764-510290']",5,,
11-24-472-03764-510308,['11-24-472-03765-510323'],1,,
11-24-472-03764-510317,"['11-24-472-03764-510231', '11-24-472-03764-510209']",2,,
11-24-472-03765-510318,"['11-24-472-03764-510259', '11-24-472-03764-510286', '11-24-472-03764-510258']",3,"['1022.0', '793.0', '1508.0']",0.0
11-24-472-03765-510321,"['11-24-472-03764-510289', '11-24-472-03765-510326', '11-24-472-03765-510325']",3,,
11-24-472-03765-510322,"['11-24-472-03764-510286', '11-24-472-03764-510222', '11-24-472-03764-510259', '11-24-472-03764-510285', '11-24-472-03764-510252', '11-24-472-03764-510307', '11-24-472-03764-510290', '11-24-472-03764-510260', '11-24-472-03764-510253']",9,,
11-24-472-03765-510323,"['11-24-472-03765-510344', '11-24-472-03765-510342', '11-24-472-03764-510308', '11-24-472-03765-510343', '11-24-472-03765-510341']",5,"['671.0', '447.0', '1372.0', '2549.0', '455.0']",1.0
11-24-472-03765-510324,"['11-24-472-03765-510325', '11-24-472-03765-510339']",2,"['911.0', '1729.0']",0.0
11-24-472-03765-510325,"['11-24-472-03765-510326', '11-24-472-03765-510339', '11-24-472-03765-510324', '11-24-472-03765-510321']",4,,
11-24-472-03765-510326,"['11-24-472-03765-510325', '11-24-472-03765-510321']",2,"['911.0', '1032.0']",0.0
11-24-472-03765-510330,"['11-24-472-03765-510332', '11-24-472-03765-510331', '11-24-472-03765-510360', '11-24-472-03765-510356', '11-24-472-03765-510357', '11-24-472-03765-510355', '11-24-472-03765-510354']",7,,
11-24-472-03765-510331,"['11-24-472-03765-510332', '11-24-472-03765-510360', '11-24-472-03765-510356', '11-24-472-03765-510357', '11-24-472-03765-510355', '11-24-472-03765-510354', '11-24-472-03765-510330']",7,,
11-24-472-03765-510332,"['11-24-472-03765-510331', '11-24-472-03765-510360', '11-24-472-03765-510356', '11-24-472-03765-510357', '11-24-472-03765-510355', '11-24-472-03765-510354', '11-24-472-03765-510330']",7,,
11-24-472-03765-510339,"['11-24-472-03765-510325', '11-24-472-03765-510324']",2,,
11-24-472-03765-510341,"['11-24-472-03765-510342', '11-24-472-03765-510323', '11-24-472-03765-510343']",3,,
11-24-472-03765-510342,"['11-24-472-03765-510323', '11-24-472-03765-510343', '11-24-472-03765-510341']",3,,
11-24-472-03765-510343,"['11-24-472-03765-510344', '11-24-472-03765-510323', '11-24-472-03765-510342', '11-24-472-03765-510341']",4,,
11-24-472-03765-510344,"['11-24-472-03765-510323', '11-24-472-03765-510343']",2,,
11-24-472-03765-510351,[],0,,
11-24-472-03765-510353,"['11-24-472-03765-510382', '11-24-472-03765-510360', '11-24-472-03765-510362', '11-24-472-03765-510361', '11-24-472-03765-510384', '11-24-472-03765-510385']",6,,
11-24-472-03765-510354,"['11-24-472-03765-510332', '11-24-472-03765-510331', '11-24-472-03765-510360', '11-24-472-03765-510356', '11-24-472-03765-510357', '11-24-472-03765-510355', '11-24-472-03765-510330']",7,,
11-24-472-03765-510355,"['11-24-472-03765-510332', '11-24-472-03765-510331', '11-24-472-03765-510360', '11-24-472-03765-510356', '11-24-472-03765-510357', '11-24-472-03765-510354', '11-24-472-03765-510330']",7,"['615.0', '533.0', '414.0', '272.0', '1659.0', '508.0', '2432.0']",0.0
11-24-472-03765-510356,"['11-24-472-03765-510332', '11-24-472-03765-510331', '11-24-472-03765-510360', '11-24-472-03765-510357', '11-24-472-03765-510355', '11-24-472-03765-510354', '11-24-472-03765-510330']",7,,
11-24-472-03765-510357,"['11-24-472-03765-510332', '11-24-472-03765-510331', '11-24-472-03765-510360', '11-24-472-03765-510356', '11-24-472-03765-510355', '11-24-472-03765-510359', '11-24-472-03765-510358', '11-24-472-03765-510354', '11-24-472-03765-510330']",9,"['615.0', '533.0', '414.0', '272.0', '1022.0', '1676.0', '585.0', '508.0', '2432.0']",0.0
11-24-472-03765-510358,"['11-24-472-03765-510357', '11-24-472-03765-510359']",2,,
11-24-472-03765-510359,"['11-24-472-03765-510357', '11-24-472-03765-510358']",2,,
11-24-472-03765-510360,"['11-24-472-03765-510332', '11-24-472-03765-510331', '11-24-472-03765-510382', '11-24-472-03765-510362', '11-24-472-03765-510356', '11-24-472-03765-510361', '11-24-472-03765-510353', '11-24-472-03765-510355', '11-24-472-03765-510357', '11-24-472-03765-510354', '11-24-472-03765-510384', '11-24-472-03765-510330', '11-24-472-03765-510385']",13,,
11-24-472-03765-510361,"['11-24-472-03765-510382', '11-24-472-03765-510360', '11-24-472-03765-510362', '11-24-472-03765-510353', '11-24-472-03765-510384', '11-24-472-03765-510385']",6,,
11-24-472-03765-510362,"['11-24-472-03765-510382', '11-24-472-03765-510360', '11-24-472-03765-510361', '11-24-472-03765-510353', '11-24-472-03765-510384', '11-24-472-03765-510385']",6,,
11-24-472-03765-510368,"['11-24-472-03769-510767', '11-24-472-03765-510369']",2,,
11-24-472-03765-510369,"['11-24-472-03765-510368', '11-24-472-03769-510767']",2,,
11-24-472-03765-510375,"['11-24-472-03765-510379', '11-24-472-03765-510381']",2,,
11-24-472-03765-510378,[],0,,
11-24-472-03765-510379,"['11-24-472-03765-510381', '11-24-472-03765-510375']",2,,
11-24-472-03765-510381,"['11-24-472-03765-510375', '11-24-472-03765-510379', '11-24-472-03765-510382', '11-24-472-03765-510383']",4,,
11-24-472-03765-510382,"['11-24-472-03765-510360', '11-24-472-03765-510362', '11-24-472-03765-510361', '11-24-472-03765-510353', '11-24-472-03765-510381', '11-24-472-03765-510384', '11-24-472-03765-510383', '11-24-472-03765-510385']",8,,
11-24-472-03765-510383,"['11-24-472-03765-510382', '11-24-472-03765-510381']",2,,
11-24-472-03765-510384,"['11-24-472-03765-510382', '11-24-472-03765-510362', '11-24-472-03765-510360', '11-24-472-03765-510361', '11-24-472-03765-510353', '11-24-472-03765-510386', '11-24-472-03765-510385']",7,"['808.0', '923.0', '414.0', '228.0', '609.0', '699.0', '532.0']",0.0
11-24-472-03765-510385,"['11-24-472-03765-510382', '11-24-472-03765-510394', '11-24-472-03765-510360', '11-24-472-03765-510362', '11-24-472-03765-510361', '11-24-472-03765-510353', '11-24-472-03765-510386', '11-24-472-03765-510384']",8,,
11-24-472-03765-510386,"['11-24-472-03765-510384', '11-24-472-03765-510394', '11-24-472-03765-510385']",3,"['1184.0', '1055.0', '532.0']",0.0
11-24-472-03765-510388,['11-24-472-03765-510393'],1,,
11-24-472-03765-510393,['11-24-472-03765-510388'],1,,
11-24-472-03765-510394,"['11-24-472-03765-510386', '11-24-472-03765-510385']",2,,
11-24-472-03765-510396,"['11-24-472-03765-510406', '11-24-472-03765-510405']",2,,
11-24-472-03765-510399,[],0,,
11-24-472-03765-510405,"['11-24-472-03765-510396', '11-24-472-03765-510406']",2,,
11-24-472-03765-510406,"['11-24-472-03765-510396', '11-24-472-03765-510405']",2,,
11-24-472-03765-510415,"['11-24-472-03765-510430', '11-24-472-03765-510431', '11-24-472-03765-510421', '11-24-472-03765-510422', '11-24-472-03765-510432', '11-24-472-03765-510429']",6,"['1521.0', '1035.0', '406.0', '782.0', '1446.0', '537.0']",0.0
11-24-472-03765-510421,"['11-24-472-03765-510430', '11-24-472-03765-510431', '11-24-472-03765-510422', '11-24-472-03765-510432', '11-24-472-03765-510415', '11-24-472-03765-510429']",6,,
11-24-472-03765-510422,"['11-24-472-03765-510430', '11-24-472-03765-510431', '11-24-472-03765-510421', '11-24-472-03765-510432', '11-24-472-03765-510415', '11-24-472-03765-510429']",6,,
11-24-472-03765-510427,"['11-24-472-03771-510912', '11-24-472-03765-510435', '11-24-472-03771-510909', '11-24-472-03771-510907']",4,,
11-24-472-03765-510429,"['11-24-472-03765-510430', '11-24-472-03765-510431', '11-24-472-03765-510421', '11-24-472-03765-510422', '11-24-472-03765-510432', '11-24-472-03765-510415']",6,,
11-24-472-03765-510430,"['11-24-472-03765-510431', '11-24-472-03765-510421', '11-24-472-03765-510422', '11-24-472-03765-510432', '11-24-472-03765-510415', '11-24-472-03765-510429']",6,,
11-24-472-03765-510431,"['11-24-472-03765-510430', '11-24-472-03765-510421', '11-24-472-03765-510422', '11-24-472-03765-510432', '11-24-472-03765-510415', '11-24-472-03765-510429']",6,,
11-24-472-03765-510432,"['11-24-472-03765-510430', '11-24-472-03765-510431', '11-24-472-03765-510421', '11-24-472-03765-510422', '11-24-472-03765-510415', '11-24-472-03765-510429']",6,"['1521.0', '1035.0', '406.0', '782.0', '4166.0', '537.0']",1.0
11-24-472-03765-510433,"['11-24-472-03765-510437', '11-24-472-03765-510436', '11-24-472-03765-510438']",3,,
11-24-472-03765-510435,"['11-24-472-03765-510427', '11-24-472-03771-510912', '11-24-472-03771-510909', '11-24-472-03771-510907']",4,"['1001.0', '754.0', '702.0', '827.0']",0.0
11-24-472-03765-510436,"['11-24-472-03765-510433', '11-24-472-03765-510440', '11-24-472-03765-510439', '11-24-472-03771-510939', '11-24-472-03765-510437', '11-24-472-03765-510438']",6,,
11-24-472-03765-510437,"['11-24-472-03765-510433', '11-24-472-03765-510436', '11-24-472-03765-510438']",3,,
11-24-472-03765-510438,"['11-24-472-03765-510433', '11-24-472-03765-510437', '11-24-472-03765-510436']",3,"['1188.0', '1214.0', '570.0']",0.0
11-24-472-03765-510439,"['11-24-472-03771-510939', '11-24-472-03765-510440', '11-24-472-03765-510436']",3,"['2056.0', '802.0', '570.0']",0.0
11-24-472-03765-510440,"['11-24-472-03771-510939', '11-24-472-03765-510439', '11-24-472-03765-510436']",3,,
11-24-472-03765-510442,"['11-24-472-03765-510444', '11-24-472-03771-510962']",2,,
11-24-472-03765-510443,['11-24-472-03765-510444'],1,,
11-24-472-03765-510444,"['11-24-472-03765-510443', '11-24-472-03771-510962', '11-24-472-03771-510961', '11-24-472-03765-510442', '11-24-472-03771-510963']",5,,
11-24-472-03766-510454,['11-24-472-03763-510145'],1,,
11-24-472-03766-510457,"['11-24-472-03766-510458', '11-24-472-03766-510474']",2,,
11-24-472-03766-510458,"['11-24-472-03766-510474', '11-24-472-03766-510457']",2,,
11-24-472-03766-510467,"['11-24-472-03766-510500', '11-24-472-03766-510498', '11-24-472-03766-510468', '11-24-472-03766-510469']",4,,
11-24-472-03766-510468,"['11-24-472-03766-510500', '11-24-472-03766-510498', '11-24-472-03766-510467', '11-24-472-03766-510469']",4,,
11-24-472-03766-510469,"['11-24-472-03766-510500', '11-24-472-03766-510498', '11-24-472-03766-510468', '11-24-472-03766-510467']",4,,
11-24-472-03766-510474,"['11-24-472-03766-510458', '11-24-472-03766-510457']",2,,
11-24-472-03766-510484,['11-24-472-03766-510485'],1,,
11-24-472-03766-510485,['11-24-472-03766-510484'],1,,
11-24-472-03766-510498,"['11-24-472-03766-510500', '11-24-472-03766-510468', '11-24-472-03766-510467', '11-24-472-03766-510469']",4,"['939.0', '964.0', '2726.0', '979.0']",1.0
11-24-472-03766-510500,"['11-24-472-03766-510498', '11-24-472-03766-510468', '11-24-472-03766-510467', '11-24-472-03766-510469']",4,"['2353.0', '964.0', '2726.0', '979.0']",1.0
11-24-472-03766-510502,"['11-24-472-03766-510582', '11-24-472-03766-510533', '11-24-472-03766-510581']",3,,
11-24-472-03766-510526,"['11-24-472-03766-510550', '11-24-472-03766-510553', '11-24-472-03766-510552', '11-24-472-03766-510537']",4,,
11-24-472-03766-510533,"['11-24-472-03766-510582', '11-24-472-03766-510502', '11-24-472-03766-510581']",3,,
11-24-472-03766-510536,"['11-24-472-03766-510554', '11-24-472-03766-510555', '11-24-472-03766-510553']",3,,
11-24-472-03766-510537,"['11-24-472-03766-510550', '11-24-472-03766-510552', '11-24-472-03766-510553', '11-24-472-03766-510526']",4,,
11-24-472-03766-510540,['11-24-472-03766-510541'],1,,
11-24-472-03766-510541,['11-24-472-03766-510540'],1,,
11-24-472-03766-510544,['11-24-472-03766-510571'],1,,
11-24-472-03766-510550,"['11-24-472-03766-510553', '11-24-472-03766-510552', '11-24-472-03766-510537', '11-24-472-03766-510526']",4,,
11-24-472-03766-510552,"['11-24-472-03766-510550', '11-24-472-03766-510553', '11-24-472-03766-510537', '11-24-472-03766-510526']",4,,
11-24-472-03766-510553,"['11-24-472-03766-510550', '11-24-472-03766-510526', '11-24-472-03766-510555', '11-24-472-03766-510570', '11-24-472-03766-510552', '11-24-472-03766-510537', '11-24-472-03766-510554', '11-24-472-03766-510536']",8,,
11-24-472-03766-510554,"['11-24-472-03766-510555', '11-24-472-03766-510553', '11-24-472-03766-510536']",3,,
11-24-472-03766-510555,"['11-24-472-03766-802469', '11-24-472-03766-510566', '11-24-472-03766-510553', '11-24-472-03766-510554', '11-24-472-03766-510536']",5,,
11-24-472-03766-510566,"['11-24-472-03766-510555', '11-24-472-03766-802469']",2,,
11-24-472-03766-510570,['11-24-472-03766-510553'],1,['3579.0'],1.0
11-24-472-03766-510571,['11-24-472-03766-510544'],1,,
11-24-472-03766-510574,['11-24-472-03766-510580'],1,,
11-24-472-03766-510580,"['11-24-472-03768-510651', '11-24-472-03766-510574', '11-24-472-03768-510650', '11-24-472-03769-510804']",4,"['589.0', '946.0', '492.0', '1079.0']",0.0
11-24-472-03766-510581,"['11-24-472-03766-510582', '11-24-472-03766-510533', '11-24-472-03766-510502']",3,,
11-24-472-03766-510582,"['11-24-472-03766-510533', '11-24-472-03766-510502', '11-24-472-03766-510581']",3,,
11-24-472-03766-802469,"['11-24-472-03766-510555', '11-24-472-03766-510566']",2,,
11-24-472-03767-510584,['11-24-472-03767-510598'],1,,
11-24-472-03767-510585,['11-24-472-03767-510598'],1,,
11-24-472-03767-510592,['11-24-472-03767-510606'],1,,
11-24-472-03767-510594,['11-24-472-03767-510595'],1,,
11-24-472-03767-510595,['11-24-472-03767-510594'],1,,
11-24-472-03767-510597,['11-24-472-03767-510598'],1,,
11-24-472-03767-510598,"['11-24-472-03767-510597', '11-24-472-03767-510584', '11-24-472-03767-510585']",3,,
11-24-472-03767-510601,['11-24-472-03767-510602'],1,,
11-24-472-03767-510602,['11-24-472-03767-510601'],1,,
11-24-472-03767-510606,['11-24-472-03767-510592'],1,,
11-24-472-03767-510610,"['11-24-472-03767-510620', '11-24-472-03767-510621']",2,,
11-24-472-03767-510613,"['11-24-472-03767-510616', '11-24-472-03767-510629', '11-24-472-03767-510614']",3,,
11-24-472-03767-510614,"['11-24-472-03767-510616', '11-24-472-03767-510613', '11-24-472-03767-510629']",3,,
11-24-472-03767-510616,"['11-24-472-03767-510613', '11-24-472-03767-510629', '11-24-472-03767-510614']",3,,
11-24-472-03767-510620,"['11-24-472-03767-510610', '11-24-472-03767-510621']",2,,
11-24-472-03767-510621,"['11-24-472-03767-510610', '11-24-472-03767-510620']",2,,
11-24-472-03767-510629,"['11-24-472-03767-510616', '11-24-472-03767-510613', '11-24-472-03767-510614']",3,,
11-24-472-03767-510636,['11-24-472-03767-510640'],1,,
11-24-472-03767-510640,['11-24-472-03767-510636'],1,,
11-24-472-03768-510650,"['11-24-472-03768-510651', '11-24-472-03766-510580', '11-24-472-03769-510804']",3,,
11-24-472-03768-510651,"['11-24-472-03769-510804', '11-24-472-03766-510580', '11-24-472-03768-510650']",3,,
11-24-472-03768-510655,"['11-24-472-03768-510666', '11-24-472-03768-510669', '11-24-472-03768-510656']",3,,
11-24-472-03768-510656,"['11-24-472-03768-510666', '11-24-472-03768-510655', '11-24-472-03768-510669']",3,,
11-24-472-03768-510665,['11-24-472-03768-510670'],1,,
11-24-472-03768-510666,"['11-24-472-03768-510655', '11-24-472-03768-510669', '11-24-472-03768-510656']",3,,
11-24-472-03768-510668,"['11-24-472-03770-510843', '11-24-472-03770-510860']",2,,
11-24-472-03768-510669,"['11-24-472-03768-510666', '11-24-472-03768-510655', '11-24-472-03768-510656']",3,,
11-24-472-03768-510670,"['11-24-472-03768-510682', '11-24-472-03768-510671', '11-24-472-03770-510842', '11-24-472-03768-510665']",4,,
11-24-472-03768-510671,"['11-24-472-03768-510670', '11-24-472-03770-510842', '11-24-472-03768-510682']",3,"['2449.0', '2707.0', '844.0']",1.0
11-24-472-03768-510682,"['11-24-472-03768-510670', '11-24-472-03768-510671', '11-24-472-03770-510842']",3,,
11-24-472-03768-510684,[],0,,
11-24-472-03768-510686,[],0,,
11-24-472-03768-510689,"['11-24-472-03768-510704', '11-24-472-03768-510702', '11-24-472-03768-510691', '11-24-472-03768-510706', '11-24-472-03768-510705', '11-24-472-03768-510703', '11-24-472-03768-510690']",7,,
11-24-472-03768-510690,"['11-24-472-03768-510704', '11-24-472-03768-510702', '11-24-472-03768-510705', '11-24-472-03768-510691', '11-24-472-03768-510706', '11-24-472-03768-510689', '11-24-472-03768-510703']",7,,
11-24-472-03768-510691,"['11-24-472-03768-510704', '11-24-472-03768-510702', '11-24-472-03768-510705', '11-24-472-03768-510706', '11-24-472-03768-510689', '11-24-472-03768-510703', '11-24-472-03768-510690']",7,,
11-24-472-03768-510702,"['11-24-472-03768-510704', '11-24-472-03768-510705', '11-24-472-03768-510691', '11-24-472-03768-510706', '11-24-472-03768-510689', '11-24-472-03768-510703', '11-24-472-03768-510690']",7,,
11-24-472-03768-510703,"['11-24-472-03768-510704', '11-24-472-03768-510702', '11-24-472-03768-510705', '11-24-472-03768-510691', '11-24-472-03768-510706', '11-24-472-03768-510689', '11-24-472-03768-510690']",7,,
11-24-472-03768-510704,"['11-24-472-03768-510702', '11-24-472-03768-510705', '11-24-472-03768-510691', '11-24-472-03768-510706', '11-24-472-03768-510689', '11-24-472-03768-510703', '11-24-472-03768-510690']",7,,
11-24-472-03768-510705,"['11-24-472-03768-510704', '11-24-472-03768-510702', '11-24-472-03768-510691', '11-24-472-03768-510706', '11-24-472-03768-510689', '11-24-472-03768-510703', '11-24-472-03768-510690']",7,,
11-24-472-03768-510706,"['11-24-472-03768-510704', '11-24-472-03768-510702', '11-24-472-03768-510705', '11-24-472-03768-510691', '11-24-472-03768-510689', '11-24-472-03768-510703', '11-24-472-03768-510690']",7,,
11-24-472-03768-510710,"['11-24-472-03768-510714', '11-24-472-03768-510715']",2,,
11-24-472-03768-510711,[],0,[nan],0.0
11-24-472-03768-510712,"['11-24-472-03768-510713', '11-24-472-03772-510998']",2,,
11-24-472-03768-510713,"['11-24-472-03768-510712', '11-24-472-03772-510998']",2,,
11-24-472-03768-510714,"['11-24-472-03768-510715', '11-24-472-03768-510710']",2,,
11-24-472-03768-510715,"['11-24-472-03768-510714', '11-24-472-03768-510710']",2,,
11-24-472-03769-510721,['11-24-472-03769-510722'],1,,
11-24-472-03769-510722,['11-24-472-03769-510721'],1,,
11-24-472-03769-510723,[],0,,
11-24-472-03769-510726,['11-24-472-03769-510731'],1,,
11-24-472-03769-510727,[],0,,
11-24-472-03769-510731,['11-24-472-03769-510726'],1,,
11-24-472-03769-510732,[],0,,
11-24-472-03769-510733,"['11-24-472-03769-510751', '11-24-472-03769-510760', '11-24-472-03769-510741']",3,,
11-24-472-03769-510741,"['11-24-472-03769-510733', '11-24-472-03769-510760', '11-24-472-03769-510751', '11-24-472-03769-510752']",4,,
11-24-472-03769-510747,"['11-24-472-03769-510748', '11-24-472-03769-510773', '11-24-472-03769-510765']",3,,
11-24-472-03769-510748,"['11-24-472-03769-510773', '11-24-472-03769-510765', '11-24-472-03769-510747']",3,,
11-24-472-03769-510751,"['11-24-472-03769-510733', '11-24-472-03769-510760', '11-24-472-03769-510741']",3,,
11-24-472-03769-510752,['11-24-472-03769-510741'],1,,
11-24-472-03769-510755,"['11-24-472-03769-510759', '11-24-472-03769-510779', '11-24-472-03769-510758']",3,,
11-24-472-03769-510758,"['11-24-472-03769-510779', '11-24-472-03769-510755']",2,,
11-24-472-03769-510759,['11-24-472-03769-510755'],1,,
11-24-472-03769-510760,"['11-24-472-03769-510733', '11-24-472-03769-510741', '11-24-472-03769-510751']",3,,
11-24-472-03769-510765,"['11-24-472-03769-510748', '11-24-472-03769-510773', '11-24-472-03769-510747']",3,,
11-24-472-03769-510766,"['11-24-472-03769-510771', '11-24-472-03769-510772']",2,,
11-24-472-03769-510767,"['11-24-472-03765-510368', '11-24-472-03765-510369']",2,,
11-24-472-03769-510771,"['11-24-472-03769-510766', '11-24-472-03769-510772']",2,,
11-24-472-03769-510772,"['11-24-472-03769-510771', '11-24-472-03769-510766']",2,,
11-24-472-03769-510773,"['11-24-472-03769-510788', '11-24-472-03769-510748', '11-24-472-03769-510765', '11-24-472-03769-510747', '11-24-472-03769-510787', '11-24-472-03769-510797']",6,"['978.0', '880.0', '1547.0', '3263.0', '1744.0', '1494.0']",1.0
11-24-472-03769-510779,"['11-24-472-03769-510758', '11-24-472-03769-510755']",2,,
11-24-472-03769-510780,[],0,,
11-24-472-03769-510784,[],0,,
11-24-472-03769-510787,"['11-24-472-03769-510773', '11-24-472-03769-510788', '11-24-472-03769-510797']",3,,
11-24-472-03769-510788,"['11-24-472-03769-510787', '11-24-472-03769-510773', '11-24-472-03769-510797']",3,"['1744.0', '4385.0', '1494.0']",1.0
11-24-472-03769-510791,"['11-24-472-03769-510814', '11-24-472-03769-510792']",2,,
11-24-472-03769-510792,"['11-24-472-03769-510791', '11-24-472-03769-510814']",2,"['594.0', '2366.0']",0.0
11-24-472-03769-510795,['11-24-472-03769-510796'],1,,
11-24-472-03769-510796,['11-24-472-03769-510795'],1,,
11-24-472-03769-510797,"['11-24-472-03769-510787', '11-24-472-03769-510773', '11-24-472-03769-510788']",3,,
11-24-472-03769-510804,"['11-24-472-03768-510651', '11-24-472-03766-510580', '11-24-472-03768-510650']",3,,
11-24-472-03769-510807,"['11-24-472-03770-510836', '11-24-472-03770-510828']",2,,
11-24-472-03769-510813,[],0,[nan],0.0
11-24-472-03769-510814,"['11-24-472-03769-510791', '11-24-472-03769-510792']",2,,
11-24-472-03770-510828,"['11-24-472-03770-510836', '11-24-472-03769-510807']",2,,
11-24-472-03770-510833,"['11-24-472-03770-510848', '11-24-472-03770-510834']",2,,
11-24-472-03770-510834,"['11-24-472-03770-510833', '11-24-472-03770-510848']",2,,
11-24-472-03770-510836,"['11-24-472-03770-510848', '11-24-472-03769-510807', '11-24-472-03770-510828', '11-24-472-03770-510837']",4,,
11-24-472-03770-510837,"['11-24-472-03770-510848', '11-24-472-03770-510836']",2,,
11-24-472-03770-510842,"['11-24-472-03768-510671', '11-24-472-03768-510670', '11-24-472-03768-510682', '11-24-472-03770-510843', '11-24-472-03770-510860']",5,,
11-24-472-03770-510843,"['11-24-472-03770-510860', '11-24-472-03770-510842', '11-24-472-03768-510668']",3,,
11-24-472-03770-510846,['11-24-472-03770-510847'],1,,
11-24-472-03770-510847,['11-24-472-03770-510846'],1,['1869.0'],0.0
11-24-472-03770-510848,"['11-24-472-03770-510833', '11-24-472-03770-510836', '11-24-472-03770-510834', '11-24-472-03770-510837']",4,"['1385.0', '1510.0', '4310.0', '1474.0']",1.0
11-24-472-03770-510850,[],0,,
11-24-472-03770-510860,"['11-24-472-03770-510843', '11-24-472-03770-510842', '11-24-472-03768-510668']",3,,
11-24-472-03770-510866,[],0,,
11-24-472-03770-510879,[],0,,
11-24-472-03771-510905,['11-24-472-03771-510916'],1,,
11-24-472-03771-510907,"['11-24-472-03765-510427', '11-24-472-03765-510435', '11-24-472-03771-510909', '11-24-472-03771-510912']",4,,
11-24-472-03771-510909,"['11-24-472-03771-510912', '11-24-472-03765-510427', '11-24-472-03765-510435', '11-24-472-03771-510907']",4,,
11-24-472-03771-510912,"['11-24-472-03765-510427', '11-24-472-03771-510924', '11-24-472-03771-510907', '11-24-472-03765-510435', '11-24-472-03771-510909']",5,,
11-24-472-03771-510913,['11-24-472-03771-510915'],1,,
11-24-472-03771-510914,"['11-24-472-03771-510915', '11-24-472-03771-510916']",2,,
11-24-472-03771-510915,"['11-24-472-03771-510913', '11-24-472-03771-510916', '11-24-472-03771-510914']",3,,
11-24-472-03771-510916,"['11-24-472-03771-510920', '11-24-472-03771-510905', '11-24-472-03771-510915', '11-24-472-03771-510921', '11-24-472-03771-510914']",5,,
11-24-472-03771-510920,"['11-24-472-03771-510916', '11-24-472-03771-510921']",2,,
11-24-472-03771-510921,"['11-24-472-03771-510920', '11-24-472-03771-510916']",2,,
11-24-472-03771-510924,"['11-24-472-03771-510912', '11-24-472-03771-510925']",2,,
11-24-472-03771-510925,['11-24-472-03771-510924'],1,,
11-24-472-03771-510931,[],0,,
11-24-472-03771-510933,['11-24-472-03771-510946'],1,,
11-24-472-03771-510939,"['11-24-472-03765-510440', '11-24-472-03765-510439', '11-24-472-03765-510436', '11-24-472-03771-510940']",4,,
11-24-472-03771-510940,"['11-24-472-03771-510963', '11-24-472-03771-510939']",2,,
11-24-472-03771-510946,['11-24-472-03771-510933'],1,,
11-24-472-03771-510961,"['11-24-472-03771-510963', '11-24-472-03765-510444', '11-24-472-03771-510965', '11-24-472-03771-510962']",4,,
11-24-472-03771-510962,"['11-24-472-03771-510961', '11-24-472-03771-510963', '11-24-472-03765-510444', '11-24-472-03765-510442']",4,,
11-24-472-03771-510963,"['11-24-472-03771-510961', '11-24-472-03771-510940', '11-24-472-03765-510444', '11-24-472-03771-510962']",4,,
11-24-472-03771-510965,['11-24-472-03771-510961'],1,,
11-24-472-03771-510969,['11-24-472-03771-510994'],1,,
11-24-472-03771-510994,['11-24-472-03771-510969'],1,,
11-24-472-03772-510998,"['11-24-472-03768-510712', '11-24-472-03768-510713']",2,,
11-24-472-03772-510999,"['11-24-472-03772-511031', '11-24-472-03772-511036']",2,,
11-24-472-03772-511003,['11-24-472-03772-511025'],1,['783.0'],0.0
11-24-472-03772-511010,['11-24-472-03772-511021'],1,['2490.0'],0.0
11-24-472-03772-511013,['11-24-472-03772-511015'],1,,
11-24-472-03772-511015,['11-24-472-03772-511013'],1,,
11-24-472-03772-511021,['11-24-472-03772-511010'],1,['2116.0'],0.0
11-24-472-03772-511025,['11-24-472-03772-511003'],1,,
11-24-472-03772-511026,"['11-24-472-03772-511027', '11-24-472-03772-511041']",2,,
11-24-472-03772-511027,"['11-24-472-03772-511026', '11-24-472-03772-511041']",2,,
11-24-472-03772-511031,"['11-24-472-03772-510999', '11-24-472-03772-511036']",2,,
11-24-472-03772-511036,"['11-24-472-03772-510999', '11-24-472-03772-511031']",2,,
11-24-472-03772-511041,"['11-24-483-03869-517170', '11-24-483-03869-517169', '11-24-472-03772-511027', '11-24-483-03869-517173', '11-24-483-03869-517171', '11-24-472-03772-511026']",6,,
11-24-472-03772-511043,"['11-24-472-03772-511044', '11-24-472-03772-802473']",2,,
11-24-472-03772-511044,"['11-24-472-03772-511046', '11-24-472-03772-511045', '11-24-472-03772-802473', '11-24-472-03772-511043', '11-24-472-03772-511055']",5,,
11-24-472-03772-511045,"['11-24-472-03772-511044', '11-24-472-03772-511055', '11-24-472-03772-511046']",3,,
11-24-472-03772-511046,"['11-24-472-03772-511044', '11-24-472-03772-511045', '11-24-472-03772-511055']",3,,
11-24-472-03772-511051,[],0,,
11-24-472-03772-511052,"['11-24-483-03870-517283', '11-24-472-03772-511054', '11-24-472-03772-511087', '11-24-472-03772-511088']",4,,
11-24-472-03772-511054,['11-24-472-03772-511052'],1,,
11-24-472-03772-511055,"['11-24-472-03772-511044', '11-24-472-03772-511045', '11-24-472-03772-511046']",3,,
11-24-472-03772-511059,[],0,,
